"","cv","cR5","gini","gini.r","theil","HHI"
"cv",1,0.942441156094957,0.936992987320296,0.763544783312593,0.943810387284785,0.979719193502631
"cR5",0.942441156094957,1,0.980217370422707,0.839110260653198,0.941259405301209,0.909083024732257
"gini",0.936992987320296,0.980217370422707,1,0.859376100270949,0.962118642099353,0.897272923956566
"gini.r",0.763544783312593,0.839110260653198,0.859376100270949,1,0.818288403124566,0.731250058337612
"theil",0.943810387284785,0.941259405301209,0.962118642099353,0.818288403124566,1,0.882193475261362
"HHI",0.979719193502631,0.909083024732257,0.897272923956566,0.731250058337612,0.882193475261362,1
