"","cv","cR5","gini","gini.r","MHHI","HKMT","sp","theil"
"cv",1,0.977643160929036,0.977567491437716,0.598058565487237,0.998068371788029,0.677039388104385,-0.721945027384325,0.979627420497935
"cR5",0.977643160929036,1,0.985166962344814,0.588099162406143,0.969822110367137,0.639446175523327,-0.722718895030239,0.977964275653292
"gini",0.977567491437716,0.985166962344814,1,0.607751758053348,0.966827747312443,0.621026773090991,-0.712556717277574,0.967117876245749
"gini.r",0.598058565487237,0.588099162406143,0.607751758053348,1,0.595609269130902,0.862422239373463,-0.162940031224216,0.570590972411444
"MHHI",0.998068371788029,0.969822110367137,0.966827747312443,0.595609269130902,1,0.683349419756988,-0.73043455107319,0.982344720221258
"HKMT",0.677039388104385,0.639446175523327,0.621026773090991,0.862422239373463,0.683349419756988,1,-0.301968484686465,0.639622452208393
"sp",-0.721945027384325,-0.722718895030239,-0.712556717277574,-0.162940031224216,-0.73043455107319,-0.301968484686465,1,-0.753045480979493
"theil",0.979627420497935,0.977964275653292,0.967117876245749,0.570590972411444,0.982344720221258,0.639622452208393,-0.753045480979493,1
