OBJECTID,ID,NID,WEIGHT
1,5,2,1.000000000000000
2,5,14,1.000000000000000
3,5,23,1.000000000000000
4,5,34,1.000000000000000
5,14,5,1.000000000000000
6,14,15,1.000000000000000
7,14,17,1.000000000000000
8,14,34,1.000000000000000
9,34,5,1.000000000000000
10,34,14,1.000000000000000
11,34,15,1.000000000000000
12,34,23,1.000000000000000
13,34,24,1.000000000000000
14,34,25,1.000000000000000
15,34,27,1.000000000000000
16,17,13,1.000000000000000
17,17,14,1.000000000000000
18,17,15,1.000000000000000
19,17,18,1.000000000000000
20,19,33,1.000000000000000
21,18,12,1.000000000000000
22,18,13,1.000000000000000
23,18,16,1.000000000000000
24,18,17,1.000000000000000
25,18,32,1.000000000000000
26,18,33,1.000000000000000
27,33,18,1.000000000000000
28,32,18,1.000000000000000
29,31,16,1.000000000000000
30,15,13,1.000000000000000
31,15,14,1.000000000000000
32,15,17,1.000000000000000
33,15,27,1.000000000000000
34,15,34,1.000000000000000
35,27,10,1.000000000000000
36,27,13,1.000000000000000
37,27,15,1.000000000000000
38,27,25,1.000000000000000
39,27,34,1.000000000000000
40,13,10,1.000000000000000
41,13,12,1.000000000000000
42,13,15,1.000000000000000
43,13,17,1.000000000000000
44,13,18,1.000000000000000
45,13,27,1.000000000000000
46,10,7,1.000000000000000
47,10,9,1.000000000000000
48,10,12,1.000000000000000
49,10,13,1.000000000000000
50,10,25,1.000000000000000
51,10,27,1.000000000000000
52,7,3,1.000000000000000
53,7,6,1.000000000000000
54,7,9,1.000000000000000
55,7,10,1.000000000000000
56,7,25,1.000000000000000
57,7,28,1.000000000000000
58,12,9,1.000000000000000
59,12,10,1.000000000000000
60,12,11,1.000000000000000
61,12,13,1.000000000000000
62,12,16,1.000000000000000
63,12,18,1.000000000000000
64,9,6,1.000000000000000
65,9,7,1.000000000000000
66,9,8,1.000000000000000
67,9,10,1.000000000000000
68,9,11,1.000000000000000
69,9,12,1.000000000000000
70,16,11,1.000000000000000
71,16,12,1.000000000000000
72,16,18,1.000000000000000
73,8,6,1.000000000000000
74,8,9,1.000000000000000
75,8,11,1.000000000000000
76,8,29,1.000000000000000
77,11,8,1.000000000000000
78,11,9,1.000000000000000
79,11,12,1.000000000000000
80,11,16,1.000000000000000
81,11,29,1.000000000000000
82,29,8,1.000000000000000
83,29,11,1.000000000000000
84,2,5,1.000000000000000
85,2,23,1.000000000000000
86,2,24,1.000000000000000
87,23,2,1.000000000000000
88,23,5,1.000000000000000
89,23,24,1.000000000000000
90,23,34,1.000000000000000
91,24,2,1.000000000000000
92,24,4,1.000000000000000
93,24,23,1.000000000000000
94,24,25,1.000000000000000
95,24,26,1.000000000000000
96,24,34,1.000000000000000
97,4,24,1.000000000000000
98,4,25,1.000000000000000
99,4,26,1.000000000000000
100,25,3,1.000000000000000
101,25,4,1.000000000000000
102,25,7,1.000000000000000
103,25,10,1.000000000000000
104,25,24,1.000000000000000
105,25,26,1.000000000000000
106,25,27,1.000000000000000
107,25,34,1.000000000000000
108,3,7,1.000000000000000
109,3,25,1.000000000000000
110,3,26,1.000000000000000
111,3,28,1.000000000000000
112,26,1,1.000000000000000
113,26,3,1.000000000000000
114,26,4,1.000000000000000
115,26,20,1.000000000000000
116,26,21,1.000000000000000
117,26,24,1.000000000000000
118,26,25,1.000000000000000
119,26,28,1.000000000000000
120,28,3,1.000000000000000
121,28,6,1.000000000000000
122,28,7,1.000000000000000
123,28,21,1.000000000000000
124,28,22,1.000000000000000
125,28,26,1.000000000000000
126,28,30,1.000000000000000
127,30,22,1.000000000000000
128,30,28,1.000000000000000
129,22,28,1.000000000000000
130,22,30,1.000000000000000
131,6,7,1.000000000000000
132,6,8,1.000000000000000
133,6,9,1.000000000000000
134,6,28,1.000000000000000
135,21,20,1.000000000000000
136,21,26,1.000000000000000
137,21,28,1.000000000000000
138,1,20,1.000000000000000
139,1,26,1.000000000000000
140,20,1,1.000000000000000
141,20,21,1.000000000000000
142,20,26,1.000000000000000
