OID_,Field1,MYID,NID,WEIGHT
,0,4,1,0.250000000000000
,0,4,13,0.250000000000000
,0,4,22,0.250000000000000
,0,4,30,0.250000000000000
,0,13,4,0.250000000000000
,0,13,14,0.250000000000000
,0,13,16,0.250000000000000
,0,13,30,0.250000000000000
,0,30,4,0.142857142857000
,0,30,13,0.142857142857000
,0,30,14,0.142857142857000
,0,30,22,0.142857142857000
,0,30,23,0.142857142857000
,0,30,24,0.142857142857000
,0,30,26,0.142857142857000
,0,14,12,0.200000000000000
,0,14,13,0.200000000000000
,0,14,16,0.200000000000000
,0,14,26,0.200000000000000
,0,14,30,0.200000000000000
,0,26,9,0.200000000000000
,0,26,12,0.200000000000000
,0,26,14,0.200000000000000
,0,26,24,0.200000000000000
,0,26,30,0.200000000000000
,0,16,12,0.250000000000000
,0,16,13,0.250000000000000
,0,16,14,0.250000000000000
,0,16,17,0.250000000000000
,0,18,16,1.000000000000000
,0,12,9,0.166666666667000
,0,12,11,0.166666666667000
,0,12,14,0.166666666667000
,0,12,16,0.166666666667000
,0,12,17,0.166666666667000
,0,12,26,0.166666666667000
,0,9,6,0.166666666667000
,0,9,8,0.166666666667000
,0,9,11,0.166666666667000
,0,9,12,0.166666666667000
,0,9,24,0.166666666667000
,0,9,26,0.166666666667000
,0,6,2,0.166666666667000
,0,6,5,0.166666666667000
,0,6,8,0.166666666667000
,0,6,9,0.166666666667000
,0,6,24,0.166666666667000
,0,6,27,0.166666666667000
,0,17,11,0.250000000000000
,0,17,12,0.250000000000000
,0,17,15,0.250000000000000
,0,17,16,0.250000000000000
,0,11,8,0.166666666667000
,0,11,9,0.166666666667000
,0,11,10,0.166666666667000
,0,11,12,0.166666666667000
,0,11,15,0.166666666667000
,0,11,17,0.166666666667000
,0,8,5,0.166666666667000
,0,8,6,0.166666666667000
,0,8,7,0.166666666667000
,0,8,9,0.166666666667000
,0,8,10,0.166666666667000
,0,8,11,0.166666666667000
,0,15,10,0.333333333333000
,0,15,11,0.333333333333000
,0,15,17,0.333333333333000
,0,7,5,0.250000000000000
,0,7,8,0.250000000000000
,0,7,10,0.250000000000000
,0,7,28,0.250000000000000
,0,10,7,0.200000000000000
,0,10,8,0.200000000000000
,0,10,11,0.200000000000000
,0,10,15,0.200000000000000
,0,10,28,0.200000000000000
,0,28,7,0.500000000000000
,0,28,10,0.500000000000000
,0,1,4,0.333333333333000
,0,1,22,0.333333333333000
,0,1,23,0.333333333333000
,0,22,1,0.250000000000000
,0,22,4,0.250000000000000
,0,22,23,0.250000000000000
,0,22,30,0.250000000000000
,0,23,1,0.166666666667000
,0,23,3,0.166666666667000
,0,23,22,0.166666666667000
,0,23,24,0.166666666667000
,0,23,25,0.166666666667000
,0,23,30,0.166666666667000
,0,3,23,0.333333333333000
,0,3,24,0.333333333333000
,0,3,25,0.333333333333000
,0,24,2,0.125000000000000
,0,24,3,0.125000000000000
,0,24,6,0.125000000000000
,0,24,9,0.125000000000000
,0,24,23,0.125000000000000
,0,24,25,0.125000000000000
,0,24,26,0.125000000000000
,0,24,30,0.125000000000000
,0,2,6,0.250000000000000
,0,2,24,0.250000000000000
,0,2,25,0.250000000000000
,0,2,27,0.250000000000000
,0,25,0,0.125000000000000
,0,25,2,0.125000000000000
,0,25,3,0.125000000000000
,0,25,19,0.125000000000000
,0,25,20,0.125000000000000
,0,25,23,0.125000000000000
,0,25,24,0.125000000000000
,0,25,27,0.125000000000000
,0,27,2,0.142857142857000
,0,27,5,0.142857142857000
,0,27,6,0.142857142857000
,0,27,20,0.142857142857000
,0,27,21,0.142857142857000
,0,27,25,0.142857142857000
,0,27,29,0.142857142857000
,0,29,21,0.500000000000000
,0,29,27,0.500000000000000
,0,21,27,0.500000000000000
,0,21,29,0.500000000000000
,0,5,6,0.250000000000000
,0,5,7,0.250000000000000
,0,5,8,0.250000000000000
,0,5,27,0.250000000000000
,0,20,19,0.333333333333000
,0,20,25,0.333333333333000
,0,20,27,0.333333333333000
,0,0,19,0.500000000000000
,0,0,25,0.500000000000000
,0,19,0,0.333333333333000
,0,19,20,0.333333333333000
,0,19,25,0.333333333333000
