POLY_ID,NAME
1,上海
2,云南
3,内蒙古
4,北京
5,吉林
6,四川
7,天津
8,宁夏
9,安徽
10,山东
11,山西
12,广东
13,广西
14,新疆
15,江苏
16,江西
17,河北
18,河南
19,浙江
20,海南
21,湖北
22,湖南
23,甘肃
24,福建
25,西藏
26,贵州
27,辽宁
28,重庆
29,陕西
30,青海
31,黑龙江
