"","x"
"山西",-55458
"内蒙古",-29781
"陕西",-4658
"宁夏",-2970
"新疆",-2746
"安徽",-2333
"贵州",-1962
"青海",-935
"广东",-598
"黑龙江",-194
"福建",136
"云南",260
"河南",734
"上海",935
"甘肃",1137
"北京",1410
"广西",1903
"重庆",1985
"浙江",2705
"吉林",2794
"江苏",3210
"山东",3361
"江西",3641
"天津",4313
"湖南",4687
"四川",4752
"湖北",5217
"辽宁",14015
"河北",44440
