"","x"
"宁夏",1787
"上海",1819
"青海",2608
"北京",2785
"福建",3894
"新疆",4050
"重庆",4075
"贵州",5247
"云南",5463
"陕西",5882
"浙江",6797
"广东",7092
"甘肃",7565
"广西",8639
"江西",9401
"安徽",10167
"吉林",10299
"江苏",10483
"山西",10703
"湖南",10703
"湖北",11160
"天津",11656
"四川",12781
"内蒙古",13148
"河南",13704
"黑龙江",16629
"山东",23292
"辽宁",32729
"河北",62478
