"","x"
"上海",884
"北京",1375
"重庆",2090
"青海",3543
"福建",3758
"浙江",4092
"宁夏",4757
"云南",5203
"江西",5760
"湖北",5943
"湖南",6016
"甘肃",6428
"广西",6736
"新疆",6796
"贵州",7209
"江苏",7273
"天津",7343
"吉林",7505
"广东",7690
"四川",8029
"陕西",10540
"安徽",12500
"河南",12970
"黑龙江",16823
"河北",18038
"辽宁",18714
"山东",19931
"内蒙古",42929
"山西",66161
