"oprovince","dprovince","flow","ogdp","oexport","oimport","oheavyindustry","olightindustry","oindustryproduct","ostateproduct","dgdp","dexport","dimport","dheavyindustry","dlightindustry","dindustryproduct","dstateproduct","gdistance","home"
"北京","北京",4.27666611901606,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.5908068005501,1
"北京","天津",5.37527840768417,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.33320204504953,17.6236551932585,18.0144123532991,9.75510876656833,8.19441160864345,9.94572007179847,9.02945977649863,137,0
"北京","河北",6.19031540585315,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.1070714550325,17.394901571583,17.6929117454907,10.3666336601348,8.97682825235971,10.5890762395182,9.27827281474062,277,0
"北京","山西",4.35670882668959,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.32701612815819,15.8547481432656,15.9599804226841,9.6244407552115,6.78415158612019,9.68120800286498,9.01284263734553,514,0
"北京","内蒙古",4.4188406077966,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.57219348602134,15.6147369138128,15.9878077923853,9.57403789974982,8.12812196625448,9.78553812803789,8.71873223702597,667,0
"北京","辽宁",4.36944785246702,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.0090495478956,17.7501196075051,17.9395641538611,10.4233046317396,9.00483288697268,10.6400947649341,9.42713018095186,741,0
"北京","吉林",3.09104245335832,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.26566438210375,15.5081709786816,16.6844426760568,9.41405968839478,8.44635647824034,9.73611037022799,8.85478765524773,1046,0
"北京","黑龙江",3.13549421592915,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.44002250012998,16.0397756668774,16.6437133702452,9.03464441732417,8.04745832605025,9.35136760049563,8.77708054471653,1288,0
"北京","上海",1.6094379124341,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.86244105364999,19.1064463223988,19.2734792593879,10.1525713280934,8.82293372392965,10.3873062502531,9.41380679211924,1463,0
"北京","江苏",2.99573227355399,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.8018234568801,19.5976079870491,19.3638277752257,11.2915879068681,10.2232520605748,11.586925459866,9.36910240316085,1160,0
"北京","浙江",2.63905732961526,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.3834059303188,19.2920050592076,18.5375680274314,10.4469516005682,9.99749005952711,10.9404102358274,9.00372694228498,1589,0
"北京","安徽",2.94443897916644,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.63565059013825,16.5710638095461,16.4965894822917,9.78377002195041,9.00361751015769,10.1610661531908,9.03347311341704,1074,0
"北京","福建",1.38629436111989,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.77338911770605,18.2064548493778,17.801854214357,9.62409039850513,9.41890699421832,10.2198992000204,8.07996803009032,2334,0
"北京","江西",2.19722457733622,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.36758511738486,16.6278962095244,16.2439065546583,9.45241244317578,8.55843685702074,9.79531085292992,8.33013081467298,1449,0
"北京","山东",4.06044301054642,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.7224267224024,18.7170189636282,18.826567696405,11.1366575403294,10.3373175465678,11.5079629721455,9.87579307635827,497,0
"北京","河南",2.70805020110221,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.2010344323821,16.8915569485108,16.4484815461804,10.3892851724744,9.57127732065595,10.7548373356429,9.24099759985356,689,0
"北京","湖北",2.89037175789616,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.88492941054678,16.7640597103632,16.5014135092899,9.89021536542268,9.02843113016872,10.2425660328091,9.2602936689681,1225,0
"北京","湖南",2.19722457733622,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.88682754204293,16.2106270644743,16.0274657714414,9.85743890198173,8.89380193051886,10.1806108265559,8.81073854121346,1583,0
"北京","广东",1.6094379124341,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,10.8820068897453,20.1491737714955,19.910384134569,10.9815795664607,10.49347928449,11.4601657274593,9.5408211240184,2289,0
"北京","广西",2.39789527279837,9.69596694993615,17.2694652085468,18.3971600279229,9.41625312201272,7.70848251020871,9.58284348688533,9.00900478885855,9.36912629245785,15.9661841456409,16.982271993544,9.13005830232452,8.1909116527973,9.46005340760093,8.38868914050574,2561,0
